graph_id,src,dst
212,55,1375
212,1375,93
213,47,1376
213,1376,94
213,94,1189
214,2024,228
214,228,1099
214,1099,290
214,290,1366
215,1076,23
215,23,1222
215,1222,49
215,49,1166
216,2102,254
216,254,1376
216,1376,94
216,94,2222
217,2224,294
217,294,1264
218,279,1992
218,1992,221
218,221,1654
218,1654,153
219,91,1652
219,1652,152
219,152,1360
219,1360,89
220,1821,185
220,185,1376
220,1376,94
220,94,2222
221,1222,49
221,49,1306
221,1306,70
221,70,2232
222,1231,55
222,55,1228
222,1228,54
222,54,1231
223,2015,226
223,226,2219
223,2219,291
223,291,1376
224,2135,265
224,265,1362
225,208,1286
225,1286,146
225,146,1378
226,2016,227
226,227,1376
226,1376,94
226,94,1793
227,1360,89
227,89,2314
228,284,1376
228,1376,94
228,94,1793
228,1793,174
229,1211,45
229,45,1425
230,219,1376
230,1376,94
230,94,1793
230,1793,174
231,2184,281
231,281,1291
231,1291,62
231,62,1076
232,2103,255
232,255,1177
233,2040,231
233,231,1281
234,1299,67
234,67,1242
235,2114,256
235,256,1263
236,1403,100
236,100,1376
236,1376,94
236,94,2222
237,2103,255
237,255,1177
238,1179,40
238,40,1376
238,1376,94
238,94,1189
239,1818,182
239,182,2230
240,20,1366
240,1366,90
240,90,1612
241,2136,266
241,266,1539
242,259,1376
242,1376,94
242,94,2222
242,2222,292
243,1241,56
243,56,2048
244,1533,120
244,120,1163
245,1223,50
245,50,1376
245,1376,94
245,94,2222
246,1067,20
246,20,1078
247,1215,47
247,47,1547
248,1973,219
248,219,1376
248,1376,94
248,94,1189
249,50,1375
249,1375,93
249,93,2018
249,2018,252
250,1306,70
250,70,2227
250,2227,297
250,297,1262
251,1310,74
251,74,1994
252,2228,298
252,298,2228
253,113,1015
253,1015,267
253,267,1182
254,1305,69
254,69,1174
255,1793,174
255,174,1795
256,1782,171
256,171,1177
257,1972,218
257,218,1976
258,89,2222
258,2222,292
258,292,1166
259,151,1372
259,1372,92
260,1030,14
260,14,1376
260,1376,94
260,94,1189
261,227,1376
261,1376,94
261,94,2222
261,2222,292
262,1012,10
262,10,2306
263,263,1376
263,1376,94
263,94,2222
263,2222,292
264,1068,21
264,21,1067
264,1067,20
264,20,1177
265,198,2144
265,2144,272
265,272,1376
265,1376,94
266,1953,212
266,212,1335
266,1335,84
266,84,1177
267,5,1228
267,1228,54
267,54,1978
268,1951,211
268,211,2230
269,25,1097
269,1097,25
270,275,2227
270,2227,297
270,297,1231
270,1231,55
271,1181,41
271,41,2262
272,118,1367
272,1367,91
272,91,1262
273,2133,264
273,264,1366
273,1366,90
273,90,1177
274,1313,76
274,76,1282
275,237,1151
275,1151,36
276,1996,223
276,223,1376
276,1376,94
276,94,2222
277,68,2025
277,2025,229
277,229,2130
278,1223,50
278,50,1376
278,1376,94
278,94,1189
279,1884,200
279,200,1221
280,254,1376
280,1376,94
280,94,2222
280,2222,292
281,1647,151
281,151,1170
282,2226,296
282,296,2314
283,2084,251
283,251,1241
283,1241,56
283,56,1231
284,233,1376
284,1376,94
284,94,2222
284,2222,292
285,1097,25
285,25,1097
286,191,1376
286,1376,94
286,94,1189
287,297,1372
287,1372,92
288,1918,208
288,208,1286
288,1286,146
288,146,2021
289,2032,230
289,230,1262
290,2016,227
290,227,1313
290,1313,76
290,76,1547
291,1121,28
291,28,1795
292,1215,47
292,47,1547
293,2205,284
293,284,1376
293,1376,94
293,94,2222
294,27,1372
294,1372,92
295,277,1165
295,1165,38
295,38,1284
296,2143,271
296,271,1376
296,1376,94
296,94,1793
297,2205,284
297,284,1376
297,1376,94
297,94,1793
298,1287,58
298,58,1286
298,1286,146
298,146,2021
299,1286,146
299,146,1177
300,1993,222
300,222,1376
300,1376,94
300,94,1189
301,1005,6
301,6,1011
301,1011,9
302,1973,219
302,219,1376
302,1376,94
302,94,1189
303,199,2144
303,2144,272
303,272,1374
304,253,1376
304,1376,94
304,94,2222
304,2222,292
304,292,2315
305,1894,206
305,206,2149
305,2149,274
305,274,2145
305,2145,273
306,2143,271
306,271,1366
306,1366,90
306,90,1365
307,265,2144
307,2144,272
307,272,1971
308,152,1996
308,1996,223
308,223,2025
308,2025,229
308,229,2130
309,1067,20
309,20,1372
309,1372,92
310,144,1376
310,1376,94
310,94,1189
311,185,1376
311,1376,94
311,94,1793
311,1793,174
311,174,1795
312,191,1376
312,1376,94
312,94,1793
312,1793,174
312,174,1177
313,237,1151
313,1151,36
313,36,2051
314,1967,216
314,216,1119
314,1119,142
315,2219,291
315,291,1372
315,1372,92
316,13,1376
316,1376,94
316,94,1189
317,144,1178
317,1178,39
317,39,1175
318,50,1179
318,1179,40
318,40,2114
318,2114,256
318,256,1177
319,1228,54
319,54,1996
319,1996,223
319,223,1221
320,2131,260
320,260,1216
320,1216,217
321,188,1376
321,1376,94
321,94,1793
321,1793,174
322,2182,280
322,280,1376
322,1376,94
322,94,1793
322,1793,174
323,249,1376
323,1376,94
323,94,2222
323,2222,292
323,292,2308
324,1228,54
324,54,1231
324,1231,55
324,55,2227
324,2227,297
325,1380,95
325,95,1366
325,1366,90
325,90,1372
325,1372,92
326,152,2182
326,2182,280
326,280,1241
326,1241,56
326,56,1179
327,1495,113
327,113,1015
327,1015,267
327,267,1182
328,115,2144
328,2144,272
328,272,1548
329,1178,39
329,39,2225
329,2225,295
329,295,2007
329,2007,224
330,1311,75
330,75,1993
330,1993,222
330,222,1949
331,2041,257
331,257,1376
331,1376,94
331,94,1793
331,1793,174
332,32,1366
332,1366,90
332,90,1981
333,1618,143
333,143,1179
333,1179,40
333,40,2313
334,221,1099
334,1099,27
334,27,1372
334,1372,92
335,2114,256
335,256,2225
335,2225,295
335,295,1303
336,227,1376
336,1376,94
336,94,2222
336,2222,292
336,292,1201
337,96,1077
337,1077,24
337,24,1166
338,1884,200
338,200,2172
338,2172,277
338,277,1973
338,1973,219
339,100,1376
339,1376,94
339,94,1189
340,2182,280
340,280,1241
340,1241,56
340,56,2314
341,1993,222
341,222,1376
341,1376,94
341,94,1793
341,1793,174
342,29,1077
342,1077,24
342,24,1976
343,298,1099
343,1099,290
343,290,1262
344,2173,278
344,278,1231
344,1231,55
344,55,2224
344,2224,294
345,73,1305
345,1305,69
345,69,1285
346,208,1286
346,1286,146
346,146,2021
347,2132,263
347,263,1366
347,1366,90
347,90,1372
347,1372,92
348,156,2142
348,2142,270
348,270,2009
349,49,2173
349,2173,278
349,278,1073
350,233,1376
350,1376,94
350,94,1189
351,223,2224
351,2224,294
351,294,1307
351,1307,71
352,1403,100
352,100,1376
352,1376,94
352,94,1189
353,199,2144
353,2144,272
353,272,2226
353,2226,296
353,296,2230
354,1311,75
354,75,1160
354,1160,37
354,37,2245
355,1160,37
355,37,2224
355,2224,294
355,294,1996
355,1996,223
355,223,2230
356,1160,37
356,37,1620
356,1620,145
356,145,1282
357,254,1376
357,1376,94
357,94,1793
357,1793,174
358,284,1376
358,1376,94
358,94,1793
358,1793,174
358,174,1373
359,49,1996
359,1996,223
359,223,1993
359,1993,222
359,222,1949
360,1820,184
360,184,1286
360,1286,146
360,146,2021
361,77,1241
361,1241,56
361,56,2223
361,2223,293
361,293,1166
362,1151,36
362,36,1376
362,1376,94
362,94,1189
363,291,1366
363,1366,90
363,90,1376
363,1376,94
363,94,2222
363,2222,292
364,1014,12
364,12,1337
364,1337,81
364,81,1177
365,115,2144
365,2144,272
365,272,2143
365,2143,271
365,271,1177
366,69,1178
366,1178,39
366,39,2007
366,2007,224
366,224,2230
367,40,1003
367,1003,5
367,5,1307
367,1307,71
368,1366,90
368,90,1376
368,1376,94
368,94,1793
368,1793,174
368,174,1692
369,1313,76
369,76,1286
369,1286,146
369,146,1378
370,1309,73
370,73,1366
370,1366,90
370,90,1177
371,2206,285
371,285,1376
371,1376,94
371,94,1189
372,1380,95
372,95,1366
372,1366,90
372,90,1372
372,1372,92
373,1403,100
373,100,1376
373,1376,94
373,94,1189
374,160,1375
374,1375,93
374,93,2018
374,2018,252
375,1996,223
375,223,1228
375,1228,54
375,54,1178
375,1178,39
375,39,2313
376,1620,145
376,145,1993
376,1993,222
376,222,1241
376,1241,56
376,56,1372
377,1839,191
377,191,1376
377,1376,94
377,94,1189
378,191,1376
378,1376,94
378,94,1793
378,1793,174
378,174,1794
379,2224,294
379,294,2227
379,2227,297
379,297,2235
380,1005,6
380,6,1337
380,1337,81
380,81,1177
381,1005,6
381,6,1090
381,1090,116
381,116,1242
382,230,1241
382,1241,56
382,56,1973
382,1973,219
382,219,1279
383,2075,249
383,249,1376
383,1376,94
383,94,1189
384,1403,100
384,100,1376
384,1376,94
384,94,1189
385,1076,23
385,23,1067
385,1067,20
